Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1252195407
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	AncTag	5	Sheep Goat Cow Buffalo Pronghorn 
Restrictions:
    qDG                          None
    qGD                          qDG
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 1.00 
Node reconstruction / fossilisation:
	MRCA RecNode AncTag
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	RecNode P(D)	RecNode P(G)	
1127000	-7.158805	189	5.614794	5.614794	0.265360	0.734640	0.981056	0.018944	
1128000	-9.428390	72	1.143223	1.143223	0.017451	0.982549	0.990686	0.009314	
1129000	-8.086381	232	1.898633	1.898633	0.028660	0.971340	0.989951	0.010049	
1130000	-7.617330	46	3.871237	3.871237	0.063737	0.936263	0.992258	0.007742	
1131000	-8.530427	227	2.227996	2.227996	0.044192	0.955808	0.804207	0.195793	
1132000	-7.573405	252	4.238252	4.238252	0.170427	0.829573	0.977273	0.022727	
1133000	-7.914468	285	3.403952	3.403952	0.132159	0.867841	0.985057	0.014943	
1134000	-8.751328	484	1.311407	1.311407	0.017239	0.982761	0.994057	0.005943	
1135000	-8.198383	303	1.922410	1.922410	0.062867	0.937133	0.988553	0.011447	
1136000	-8.029385	172	3.421880	3.421880	0.084108	0.915892	0.997570	0.002430	
1137000	-9.899468	198	0.846018	0.846018	0.008422	0.991578	0.997046	0.002954	
1138000	-9.795984	489	1.053357	1.053357	0.014275	0.985725	0.998196	0.001804	
1139000	-7.810689	444	3.278215	3.278215	0.088452	0.911548	0.981367	0.018633	
1140000	-11.176248	242	0.538908	0.538908	0.002090	0.997910	0.993880	0.006120	
1141000	-8.929217	344	1.804544	1.804544	0.020621	0.979379	0.779385	0.220615	
1142000	-7.651956	438	4.280381	4.280381	0.110914	0.889086	0.826515	0.173485	
1143000	-10.768775	113	0.793728	0.793728	0.004457	0.995543	0.997701	0.002299	
1144000	-8.911807	448	2.014086	2.014086	0.084019	0.915981	0.998853	0.001147	
1145000	-7.570266	385	4.070922	4.070922	0.145110	0.854890	0.992084	0.007916	
1146000	-8.255075	245	2.599824	2.599824	0.070944	0.929056	0.887708	0.112292	
1147000	-8.267081	270	2.202621	2.202621	0.044904	0.955096	0.999393	0.000607	
1148000	-8.465903	191	2.417199	2.417199	0.026227	0.973773	0.720732	0.279268	
1149000	-8.745363	390	1.474289	1.474289	0.033535	0.966465	0.993476	0.006524	
1150000	-9.278870	164	1.529193	1.529193	0.025105	0.974895	0.994251	0.005749	
1151000	-7.131411	12	3.257862	3.257862	0.095260	0.904740	0.888376	0.111624	
1152000	-9.301810	24	1.388909	1.388909	0.028212	0.971788	0.989564	0.010436	
1153000	-8.798140	147	1.921847	1.921847	0.043366	0.956634	0.996201	0.003799	
1154000	-9.121695	257	1.608385	1.608385	0.035923	0.964077	0.990403	0.009597	
1155000	-7.702606	145	1.777440	1.777440	0.026876	0.973124	0.850522	0.149478	
1156000	-7.646057	326	4.438311	4.438311	0.099484	0.900516	0.941281	0.058719	
1157000	-8.599219	180	2.157790	2.157790	0.031285	0.968715	0.980742	0.019258	
1158000	-10.222168	438	0.804618	0.804618	0.004692	0.995308	0.873036	0.126964	
1159000	-8.246839	336	2.258778	2.258778	0.055876	0.944124	0.978874	0.021126	
1160000	-11.386503	121	0.560263	0.560263	0.011542	0.988458	0.996300	0.003700	
1161000	-8.141697	225	2.183533	2.183533	0.073834	0.926166	0.988867	0.011133	
1162000	-9.001659	13	2.096306	2.096306	0.036192	0.963808	0.973844	0.026156	
1163000	-8.027079	191	3.445465	3.445465	0.049833	0.950167	0.718176	0.281824	
1164000	-7.986445	346	3.957049	3.957049	0.114780	0.885220	0.820169	0.179831	
1165000	-8.952722	205	1.581007	1.581007	0.023421	0.976579	0.813683	0.186317	
1166000	-7.042801	145	4.016379	4.016379	0.114988	0.885012	0.836304	0.163696	
1167000	-8.887896	407	1.226126	1.226126	0.023062	0.976938	0.995976	0.004024	
1168000	-8.800754	376	1.611228	1.611228	0.023025	0.976975	0.994461	0.005539	
1169000	-9.681124	322	0.941992	0.941992	0.009420	0.990580	0.806823	0.193177	
1170000	-7.700003	400	2.196979	2.196979	0.016841	0.983159	0.997923	0.002077	
1171000	-8.663172	19	3.058708	3.058708	0.075045	0.924955	0.773486	0.226514	
1172000	-8.769710	389	2.137950	2.137950	0.019672	0.980328	0.994771	0.005229	
1173000	-8.419508	95	3.975729	3.975729	0.095835	0.904165	0.990139	0.009861	
1174000	-9.984766	173	0.944709	0.944709	0.007795	0.992205	0.912718	0.087282	
1175000	-8.623966	498	2.967521	2.967521	0.110043	0.889957	0.997804	0.002196	
1176000	-8.603365	131	2.711680	2.711680	0.051550	0.948450	0.996135	0.003865	
1177000	-7.976999	308	4.224420	4.224420	0.119974	0.880026	0.987281	0.012719	
1178000	-10.830878	33	0.746654	0.746654	0.006476	0.993524	0.925961	0.074039	
1179000	-8.826681	461	2.468246	2.468246	0.060599	0.939401	0.988651	0.011349	
1180000	-8.732407	211	2.224150	2.224150	0.075650	0.924350	0.979535	0.020465	
1181000	-7.775479	92	4.441964	4.441964	0.066266	0.933734	0.988888	0.011112	
1182000	-8.527998	335	1.519370	1.519370	0.023066	0.976934	0.994303	0.005697	
1183000	-7.960777	484	2.156909	2.156909	0.044846	0.955154	0.989994	0.010006	
1184000	-9.823180	458	1.148154	1.148154	0.018375	0.981625	0.996613	0.003387	
1185000	-7.847390	107	3.540512	3.540512	0.113302	0.886698	0.863150	0.136850	
1186000	-8.347614	239	2.543881	2.543881	0.079768	0.920232	0.995885	0.004115	
1187000	-7.865669	419	6.419462	6.419462	0.276660	0.723340	0.958556	0.041444	
1188000	-7.862766	403	2.836295	2.836295	0.116389	0.883611	0.825298	0.174702	
1189000	-7.126678	82	4.714998	4.714998	0.178095	0.821905	0.857598	0.142402	
1190000	-7.554616	158	4.303729	4.303729	0.156886	0.843114	0.971272	0.028728	
1191000	-8.383694	291	3.460284	3.460284	0.084220	0.915780	0.977451	0.022549	
1192000	-9.652286	31	1.203277	1.203277	0.014115	0.985885	0.992490	0.007510	
1193000	-7.586398	410	4.898107	4.898107	0.206161	0.793839	0.954249	0.045751	
